id,question_text,purpose,priority,task_category_code,framework_code,is_universal,is_conditional,condition_text,display_order
U1,What is the scope or boundary of this task? What's explicitly out of scope?,Define limits,high,,,1,0,,1
U2,How will you measure success? What does a good outcome look like?,Success criteria,high,,,1,0,,2
U3,Who is the intended audience for this output?,Audience clarity,high,,,1,0,,3
U4,"What constraints exist (time, budget, length, format, resources)?",Limitation awareness,high,,,1,0,,4
U5,What background context is essential to understand?,Context gathering,high,,,1,0,,5
U6,What have you already tried or considered?,Avoid redundancy,high,,,1,0,,6
COS1,Who is the specific audience for this content? What's their role and knowledge level?,Audience definition,high,,CO_STAR,0,0,,1
COS2,"What's the primary objective—what should the reader do, think, or feel after reading?",Objective clarity,high,,CO_STAR,0,0,,2
COS3,"What writing style fits best—formal, conversational, technical, storytelling?",Style determination,high,,CO_STAR,0,0,,3
COS4,"What tone should come through—professional, friendly, urgent, empathetic, authoritative?",Tone setting,high,,CO_STAR,0,0,,4
COS5,"What format works best for this content—paragraphs, bullet points, sections with headers?",Response format,medium,,CO_STAR,0,0,,5
COS6,What background context does the AI need to understand the situation?,Context gathering,medium,,CO_STAR,0,0,,6
COS7,"Are there any words, phrases, or topics to avoid?",Boundaries,medium,,CO_STAR,0,0,,7
COS8,Is there existing content or examples to match in style?,Style reference,low,,CO_STAR,0,0,,8
REA1,"What tools, resources, or information sources are available?",Tool inventory,high,,REACT,0,0,,1
REA2,What's the end goal—what specific outcome are you trying to achieve?,Goal clarity,high,,REACT,0,0,,2
REA3,How will you know when the task is complete? What signals success?,Termination criteria,high,,REACT,0,0,,3
REA4,What constraints or rules must be followed during the process?,Guardrails,medium,,REACT,0,0,,4
REA5,"If initial approaches fail, what alternatives should be considered?",Fallback planning,medium,,REACT,0,0,,5
REA6,Are there any actions or sources that should be avoided?,Boundaries,low,,REACT,0,0,,6
REA_COND_1,What sources are considered authoritative?,Identify authoritative sources,medium,,REACT,0,1,research task,99
REA_COND_2,What error handling is needed?,Error handling requirements,medium,,REACT,0,1,technical task,99
REA_COND_3,What are the dependencies between steps?,Dependencies,medium,,REACT,0,1,multi-step task,99
SRF1,What are the specific quality criteria for this output?,Quality standards,high,,SELF_REFINE,0,0,,1
SRF2,What aspects are most important to get right?,Priority focus,high,,SELF_REFINE,0,0,,2
SRF3,How many refinement iterations are acceptable?,Iteration bounds,medium,,SELF_REFINE,0,0,,3
SRF4,What's the minimum acceptable quality threshold?,Quality floor,medium,,SELF_REFINE,0,0,,4
SRF5,Are there examples of excellent outputs to aspire to?,Quality reference,medium,,SELF_REFINE,0,0,,5
SRF6,What common mistakes or pitfalls should be watched for?,Error awareness,low,,SELF_REFINE,0,0,,6
STB1,What domain or field does this question belong to?,Domain identification,high,,STEP_BACK,0,0,,1
STB2,What general principles or theories might apply?,Principle prompting,high,,STEP_BACK,0,0,,2
STB3,What's the specific question you need answered?,Question clarity,high,,STEP_BACK,0,0,,3
STB4,What level of detail is needed in the answer?,Depth calibration,medium,,STEP_BACK,0,0,,4
STB5,Are there related concepts you already understand?,Build on existing,low,,STEP_BACK,0,0,,5
STB_COND_1,What formulas or laws might be relevant?,Formulas and laws,medium,,STEP_BACK,0,1,STEM task,99
STB_COND_2,What categories of information would help?,Information categories,medium,,STEP_BACK,0,1,knowledge task,99
STB_COND_3,What logical principles apply?,Logical principles,medium,,STEP_BACK,0,1,reasoning task,99
SOT1,What's the main topic or question to address?,Topic focus,high,,SKELETON_OF_THOUGHT,0,0,,1
SOT2,How many main points should the response cover?,Scope sizing,high,,SKELETON_OF_THOUGHT,0,0,,2
SOT3,Is there a preferred logical order for the points?,Structure guidance,medium,,SKELETON_OF_THOUGHT,0,0,,3
SOT4,How detailed should each point be?,Depth calibration,medium,,SKELETON_OF_THOUGHT,0,0,,4
SOT5,"Does coherence between points matter, or can they be independent?",Framework fit check,medium,,SKELETON_OF_THOUGHT,0,0,,5
MET1,What task will the generated prompt be used for?,Target task,high,,META_PROMPTING,0,0,,1
MET2,What model will execute the prompt (if known)?,Model targeting,high,,META_PROMPTING,0,0,,2
MET3,What output format and quality is expected?,Output requirements,high,,META_PROMPTING,0,0,,3
MET4,What's the user profile for the generated prompt (if known)?,Personality targeting,medium,,META_PROMPTING,0,0,,4
MET5,"Are there existing prompts to improve, or starting from scratch?",Starting point,medium,,META_PROMPTING,0,0,,5
MET6,What constraints must the prompt respect?,Boundaries,medium,,META_PROMPTING,0,0,,6
MET7,What has been tried that didn't work well?,Failure learning,low,,META_PROMPTING,0,0,,7
D1,What options are you currently considering?,Map the decision space,high,DECISION,,0,0,,1
D2,What criteria matter most in making this decision?,Identify decision factors,high,DECISION,,0,0,,2
D3,What's the cost or impact of choosing wrong?,Understand stakes,medium,DECISION,,0,0,,3
D4,"Is this decision reversible, or are you locked in once you choose?",Assess commitment level,medium,DECISION,,0,0,,4
D5,What information would make this decision obvious?,Identify knowledge gaps,medium,DECISION,,0,0,,5
D6,What's your timeline for making this decision?,Urgency assessment,medium,DECISION,,0,0,,6
D7,Who else is affected by or involved in this decision?,Stakeholder mapping,medium,DECISION,,0,0,,7
D8,Have you made similar decisions before? What worked or didn't?,Learn from history,low,DECISION,,0,0,,8
D9,"What's your gut telling you, and why might you be hesitating?",Surface intuition,low,DECISION,,0,0,,9
D10,"If you had to decide right now, what would you choose?",Force prioritisation,low,DECISION,,0,0,,10
D_COND_1,Can we narrow to the top 3-4 contenders?,Narrow options,high,DECISION,,0,1,many options revealed,99
D_COND_2,"If you could only optimise for one factor, which would it be?",Single factor optimisation,high,DECISION,,0,1,vague criteria,99
D_COND_3,What's your risk tolerance here?,Risk tolerance,high,DECISION,,0,1,high stakes,99
S1,What's the time horizon for this strategy?,Temporal scope,high,STRATEGY,,0,0,,1
S2,"What resources are available (budget, team, tools)?",Resource constraints,high,STRATEGY,,0,0,,2
S3,What does success look like at the end of this period?,Goal definition,high,STRATEGY,,0,0,,3
S4,Who are the key stakeholders who need to buy in?,Stakeholder mapping,high,STRATEGY,,0,0,,4
